#S8-6
#Lat: -26.855106587
#Lon: 116.730025307
#HAE: 330.2901
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB14-05,180,473173.6900,7029598.6718,347.0517,-26.854974753,116.729962659,330.2511,-2561288.2095,5085927.1714,-2864037.8337,-6.2264,14.6082,-0.0390
SB14-06,201,473172.1596,7029597.9094,347.0731,-26.854981607,116.729947237,330.2725,-2561286.6948,5085927.5715,-2864038.5209,-7.7592,13.8487,-0.0177
SB14-07,235,473172.6388,7029600.5303,347.0827,-26.854957953,116.729952117,330.2821,-2561287.6644,5085928.4185,-2864036.1869,-7.2742,16.4697,-0.0080
SB14-08,256,473168.9821,7029599.6678,347.1015,-26.854965670,116.729915290,330.3009,-2561284.2292,5085929.7347,-2864036.9583,-10.9343,15.6147,0.0107
SB14-09,222,473168.7400,7029597.8749,347.0827,-26.854981852,116.729912815,330.2821,-2561283.6376,5085929.1069,-2864038.5495,-11.1803,13.8215,-0.0080
SB14-10,243,473167.0603,7029597.1008,347.0408,-26.854988810,116.729895890,330.2402,-2561281.9618,5085929.5191,-2864039.2184,-12.8624,13.0506,-0.0499
SB14-11,188,473168.4359,7029595.7783,347.0696,-26.855000777,116.729909709,330.2689,-2561282.9305,5085928.3892,-2864040.4144,-11.4890,11.7246,-0.0212
SB15-01,20,473182.0717,7029589.0781,347.0798,-26.855061532,116.730046825,330.2790,-2561293.7380,5085919.5516,-2864046.4250,2.1385,4.9924,-0.0111
SB15-02,41,473181.5034,7029592.0434,347.1023,-26.855034748,116.730041168,330.3016,-2561293.8479,5085921.0199,-2864043.7875,1.5763,7.9603,0.0115
SB15-03,33,473183.6942,7029589.8103,347.0747,-26.855054953,116.730063172,330.2740,-2561295.3352,5085919.1110,-2864045.7724,3.7633,5.7214,-0.0161
SB15-04,54,473183.2436,7029591.7781,347.1106,-26.855037177,116.730058679,330.3099,-2561295.3510,5085920.1351,-2864044.0313,3.3167,7.6912,0.0198
SB15-05,88,473185.4632,7029593.7090,347.1187,-26.855019787,116.730081063,330.3180,-2561297.7327,5085919.9184,-2864042.3158,5.5414,9.6181,0.0279
SB15-06,75,473183.5034,7029594.5508,347.1254,-26.855012149,116.730061354,330.3247,-2561296.1579,5085921.1463,-2864041.5638,3.5826,10.4645,0.0346
SB15-07,117,473180.2098,7029596.6935,347.1303,-26.854992740,116.730028246,330.3296,-2561293.6580,5085923.4979,-2864039.6473,0.2921,12.6151,0.0395
SB15-08,83,473178.2364,7029594.4996,347.0984,-26.855012509,116.730008334,330.2977,-2561291.4325,5085923.4788,-2864041.5872,-1.6870,10.4245,0.0076
